x,t,u
0.5959596,0.4,0.5284563
0.93939394,0.0,0.79288775
0.94949496,0.6,0.23510273
0.36363637,0.0,1.1343386
0.93939394,0.0,0.79288775
0.46464646,0.8,0.53588194
0.8989899,0.6,0.43735147
0.26262626,0.0,0.5800274
0.7979798,0.6,0.6722609
0.21212122,0.8,0.32657272
0.4949495,0.4,0.49363917
0.1919192,0.6,0.29982394
0.2020202,0.8,0.31101543
0.35353535,0.0,1.139835
0.5858586,0.6,0.56722003
0.83838385,0.4,0.73399925
0.36363637,0.8,0.49319917
0.5959596,0.6,0.5750055
0.4949495,0.2,0.38885766
0.54545456,0.8,0.56314296
0.5555556,0.8,0.5677195
0.05050505,0.6,0.056303427
0.35353535,0.4,0.5835872
0.43434343,0.2,0.57321733
0.2020202,0.4,0.3211779
0.02020202,0.2,-0.0066423565
0.13131313,0.4,0.15747981
0.97979796,0.2,0.13733722
0.90909094,0.0,0.9501434
0.07070707,0.8,0.09824614
0.7777778,0.0,1.0512038
0.27272728,0.2,0.56889683
0.45454547,0.4,0.5273972
0.7171717,0.4,0.7501928
0.57575756,0.0,0.058866188
0.7979798,0.2,0.94547814
0.34343433,0.8,0.47849554
0.22222222,0.4,0.37214512
0.90909094,0.2,0.6507409
0.47474748,0.6,0.53553194
0.43434343,0.2,0.57321733
0.97979796,0.6,0.09497179
0.97979796,0.8,0.08342944
0.45454547,0.8,0.53295285
0.7373737,0.6,0.69544846
0.32323232,0.6,0.49658877
0.28282827,0.2,0.60501045
0.5151515,0.8,0.5512603
0.7070707,0.6,0.68001395
0.7171717,0.2,0.8394521
0.7676768,0.0,1.0506958
0.030303031,0.0,0.011079356
0.3030303,0.8,0.4419467
0.44444445,0.6,0.5366613
0.7070707,0.2,0.81114167
0.41414142,0.2,0.6368498
0.7777778,0.0,1.0512038
0.7373737,0.2,0.8867522
0.44444445,0.8,0.52991885
0.56565654,0.0,-0.009850815
0.75757575,0.8,0.62323284
0.6767677,0.8,0.6272276
0.7777778,0.6,0.6894826
0.6969697,0.8,0.63277763
0.09090909,0.8,0.13034432
0.8080808,0.2,0.94246477
0.56565654,0.6,0.5544812
0.33333334,0.6,0.5049694
0.2020202,0.2,0.28665107
0.7070707,0.6,0.68001395
0.121212125,0.2,0.06528239
0.37373737,0.4,0.5848581
0.8181818,0.4,0.7704662
0.989899,0.8,0.04402919
0.65656567,0.6,0.6338529
0.3131313,0.2,0.69193965
0.18181819,0.6,0.28073436
0.47474748,0.4,0.5084993
0.65656567,0.0,0.7702867
0.7979798,0.6,0.6722609
0.7777778,0.2,0.9402161
0.15151516,0.6,0.22317486
0.7878788,0.8,0.597767
0.65656567,0.2,0.6361652
0.989899,0.6,0.04706271
1.0,0.8,0.004651651
0.46464646,0.6,0.5357531
0.75757575,0.4,0.7938574
0.65656567,0.4,0.63750225
0.2929293,0.0,0.85725623
0.4949495,0.0,0.05426185
0.61616164,0.0,0.42638117
0.4949495,0.2,0.38885766
0.72727275,0.2,0.8647273
0.5959596,0.4,0.5284563
0.7373737,0.4,0.77671295
0.8080808,0.4,0.7831313
0.6666667,0.0,0.8344137
0.22222222,0.2,0.3656996
0.3838384,0.2,0.70922214
0.7777778,0.6,0.6894826
0.3939394,0.6,0.5343339
0.8484849,0.6,0.584891
0.75757575,0.8,0.62323284
0.969697,0.2,0.22267629
0.959596,0.6,0.18939193
0.97979796,0.4,0.10611008
0.74747473,0.0,1.0454124
0.08080808,0.4,0.07147746
0.15151516,0.8,0.22921757
0.121212125,0.2,0.06528239
0.61616164,0.8,0.5990866
0.93939394,0.4,0.3410092
0.21212122,0.4,0.34677082
0.959596,0.8,0.16113894
0.3030303,0.6,0.47661084
0.3939394,0.2,0.68926483
0.5555556,0.6,0.54956955
0.34343433,0.2,0.73455673
0.4848485,0.8,0.5416903
0.4949495,0.0,0.05426185
0.33333334,0.6,0.5049694
0.3030303,0.4,0.53999513
0.28282827,0.0,0.76934534
0.09090909,0.6,0.116533205
0.34343433,0.4,0.5796171
0.7373737,0.8,0.63188535
0.4949495,0.4,0.49363917
0.121212125,0.8,0.17948107
0.47474748,0.8,0.5387724
0.6060606,0.0,0.32837695
0.27272728,0.6,0.4383456
0.09090909,0.0,-0.046477094
