x,t,u
0.53535354,0.7,0.6800509874519245
0.85858583,0.7,0.33270176628017434
0.94949496,0.25,0.15830091244412006
0.05050505,0.6,0.10057200161967815
0.25252524,0.45,0.5036211039968678
0.23232323,0.15,0.5716950466496655
0.94949496,0.25,0.12872130097518164
0.0,0.15,0.000390359403042435
0.64646465,0.95,0.587501863427578
0.5555556,0.55,0.6508194875581645
0.75757575,0.4,0.6052242190623504
0.11111111,0.6,0.282416359913258
0.56565654,0.15,1.0382954266575282
0.90909094,0.55,0.2050114447280332
0.1010101,0.05,0.2732699550892713
0.24242425,0.25,0.5222385214973099
0.25252524,0.55,0.5340634583224485
0.7777778,0.0,0.7230113826734537
0.45454547,0.4,0.8347932634081001
0.3838384,0.6,0.6035372829159958
0.47474748,0.75,0.6795533098600857
0.13131313,0.15,0.41102175316405526
0.57575756,0.7,0.6556533372865563
0.6262626,0.1,0.9233838281730331
0.1010101,0.25,0.2873409695322295
0.02020202,0.95,0.03967509305338235
0.09090909,0.2,0.2446408593961698
0.6767677,0.45,0.6599668624791365
0.4949495,0.0,1.1315808421559828
0.74747473,0.0,0.7618975428502565
0.6363636,0.2,0.8672751067943892
0.0,0.1,0.00016612555454177666
0.7070707,0.9,0.5855931780947615
1.0,0.0,-0.00045338990158816703
0.3939394,0.0,0.9113111609724084
0.3131313,0.2,0.8028086465815103
0.16161616,0.3,0.3837145580825604
0.46464646,0.35,0.7158062048629767
0.6767677,0.5,0.7619666595678858
0.61616164,0.2,0.9008542703395056
0.36363637,0.1,0.7870562413109887
0.121212125,0.65,0.2686352867282608
0.09090909,0.55,0.19379578339978196
0.90909094,0.95,0.17896307714266974
0.3838384,0.95,0.5193832337013217
0.6262626,0.15,0.8343726407061496
0.9191919,0.3,0.22593860931172874
0.85858583,0.6,0.3137111836968833
0.8080808,0.7,0.3541423345990366
0.8181818,0.55,0.41030761902782814
0.17171717,0.1,0.5507289299087211
0.16161616,0.0,0.5061745334397069
0.86868685,0.2,0.3884877648551728
0.0,0.6,0.000401165211503914
0.54545456,0.6,0.6961614751453584
0.14141414,0.0,0.4474654720105343
0.68686867,0.0,0.7636567316312999
0.21212122,0.45,0.44414983918949635
0.28282827,0.8,0.5253900100096474
0.56565654,0.45,0.6720615450810907
0.2929293,0.45,0.70649716125426
0.14141414,0.1,0.3501538371753408
0.6060606,0.8,0.5713894486342843
0.3939394,0.45,0.8151987012667643
0.01010101,0.1,0.03467925048436329
0.030303031,0.1,0.0770235081064653
0.060606062,0.85,0.11947585521013085
0.25252524,0.0,0.7706236973458913
0.23232323,0.4,0.4867206442173616
0.54545456,0.6,0.743514897414104
0.7171717,0.0,0.7796725824718045
0.4848485,0.85,0.7271980361479143
0.94949496,0.65,0.10227049188858854
0.7676768,0.1,0.6821358071759387
0.5959596,0.05,1.001229779943999
0.13131313,0.55,0.269165187755589
0.5858586,0.15,0.8835224885836203
0.36363637,0.1,0.9916679047501096
0.09090909,0.35,0.2229978976438115
0.2020202,0.5,0.507514097760163
0.11111111,0.0,0.30421415217776515
0.93939394,0.1,0.18385611356797857
0.02020202,0.15,0.06422105842704319
0.5252525,0.55,0.7421301242535003
0.5959596,0.4,0.7184941921747414
0.7676768,0.2,0.6228152301845508
0.68686867,0.2,0.7870146066203707
0.7777778,0.65,0.4804545355152667
0.45454547,0.15,0.8718573273169898
0.7878788,0.45,0.4643220927441474
0.15151516,0.3,0.3426399600534361
0.4040404,0.05,0.9037203424144922
0.09090909,0.85,0.21169762055067465
0.41414142,0.8,0.7030414390118259
0.7878788,0.55,0.5128109859958545
0.93939394,0.95,0.10303669110289798
0.09090909,0.7,0.18188039241225232
0.23232323,0.45,0.5722840077615149
0.3131313,0.75,0.5607914798687011
0.90909094,0.75,0.2012627263501639
0.8484849,0.3,0.43993696711828695
0.060606062,0.05,0.17779191047206314
0.7979798,0.05,0.4962803719223153
0.61616164,0.85,0.5664705249847204
0.8484849,0.7,0.3495433407068796
0.21212122,0.2,0.482539377012965
0.86868685,0.75,0.2954279927870781
0.32323232,0.7,0.547514253128128
0.45454547,0.55,0.6494367312414652
0.5555556,0.05,0.8306919016908565
0.3939394,0.7,0.5900759115755261
0.90909094,0.85,0.204423257109107
0.28282827,0.8,0.5435187476221683
0.21212122,0.25,0.6059429773271671
0.2929293,0.2,0.6927519067399389
0.83838385,0.15,0.5148032648598104
0.6969697,0.6,0.6195897984298845
0.16161616,0.3,0.4116834464405168
0.7171717,0.0,0.671345172896932
0.7979798,0.6,0.394488325959545
0.27272728,0.85,0.5654483175728515
0.5555556,0.05,0.8395469880360441
0.57575756,0.45,0.826758867430154
0.989899,0.85,0.020181961512207067
0.83838385,0.6,0.3726002689691546
0.3939394,0.75,0.6606847659201509
0.8989899,0.35,0.2718315897993538
0.2929293,0.25,0.7303236970654968
0.05050505,0.3,0.13962946805026444
0.5858586,0.1,0.9825368504760563
0.74747473,0.9,0.5239953997338874
0.8484849,0.5,0.3937137812243961
0.3131313,0.0,0.7313379944860274
0.37373737,0.1,0.9860725553492358
0.44444445,0.75,0.7008713055276278
0.5858586,0.75,0.6162060033846274
0.09090909,0.7,0.2100263684438523
0.9191919,0.75,0.17471021796858693
0.4040404,0.7,0.6938680194229196
0.6262626,0.5,0.6416781483278771
0.05050505,0.3,0.14007227397469882
0.27272728,0.85,0.555162808994179
0.030303031,0.15,0.08421153702877239
0.65656567,0.7,0.550511647555282
0.83838385,0.6,0.3506981472744644
0.86868685,0.95,0.2447003950665267
0.5555556,0.55,0.744316270032754
0.8989899,0.3,0.28634196506915466
0.121212125,0.3,0.3618689060421631
0.0,0.6,0.00030843713079982757
0.11111111,0.3,0.3278825425383708
0.83838385,0.5,0.3490876165879175
0.13131313,0.45,0.2770400525947006
0.17171717,0.8,0.3380298437853685
0.8484849,0.8,0.332289685869408
0.7373737,0.15,0.6239744796278217
0.82828283,0.55,0.4459172291073646
0.37373737,0.75,0.6455238970216847
0.47474748,0.3,0.8796987367766179
0.8989899,0.0,0.32342361365631117
0.82828283,0.3,0.39922232848949807
0.86868685,0.3,0.38367284774277877
0.5959596,0.8,0.6958137597725049
0.32323232,0.9,0.5332226537986592
0.82828283,0.9,0.3193074869905204
0.72727275,0.95,0.5391376162385629
0.45454547,0.25,0.7669088795247114
0.54545456,0.15,0.9739499645856007
0.2020202,0.25,0.518008567754625
0.18181819,0.35,0.4448727882697156
0.6767677,0.95,0.4662797780629033
0.05050505,0.15,0.164741816117809
0.6262626,0.4,0.8638654248695633
0.969697,0.15,0.10015624815088249
0.24242425,0.15,0.5767566353634925
0.5252525,0.4,0.7632270993862872
0.33333334,0.35,0.6568979808353086
0.04040404,0.05,0.11183183537353512
0.7676768,0.5,0.47146947296813857
0.1010101,0.25,0.25162729830019226
0.7777778,0.15,0.5294019818612913
0.7070707,0.05,0.8743766818286622
0.6969697,0.7,0.5985551627651753
0.6969697,0.6,0.5519457854097034
0.53535354,0.5,0.8574766762373021
0.54545456,0.35,0.7917801912073782
0.0,0.3,0.0006919578713978978
0.24242425,0.55,0.5834317441716014
0.16161616,0.05,0.4167325936475423
0.6767677,0.05,0.7294718261327877
0.23232323,0.35,0.6232712485326454
0.989899,0.05,0.026540202728419438
0.121212125,0.65,0.25137739018081495
0.08080808,0.75,0.16177503446230868
0.6666667,0.8,0.6513636748800321
0.57575756,0.45,0.864143293765645
0.54545456,0.95,0.5411883398967957
0.989899,0.3,0.024500521584534404
0.6363636,0.2,0.8694804558278247
0.53535354,0.05,0.8257651457670677
0.8181818,0.35,0.4030809364437455
0.8787879,0.85,0.2614468585132396
0.959596,0.95,0.07335560212534206
0.1010101,0.45,0.216904820659517
0.989899,0.6,0.021221075721987944
0.989899,0.7,0.02474338410765907
0.02020202,0.6,0.04197462178241206
0.02020202,0.25,0.05292522532685411
0.5252525,0.85,0.5798301165235552
0.65656567,0.4,0.651466968660996
0.8484849,0.4,0.3733687629741517
0.02020202,0.1,0.06849381505336928
0.09090909,0.6,0.19376097765321623
0.53535354,0.35,0.9554436286462086
0.43434343,0.3,0.7462908518146372
0.90909094,0.5,0.21594495768851682
0.3838384,0.3,0.6903539497485488
0.26262626,0.65,0.5802138527132521
0.7979798,0.0,0.5550717610317586
0.6767677,0.25,0.8196480607938282
0.22222222,0.1,0.6201657677048531
0.26262626,0.8,0.5013283320811684
0.8787879,0.95,0.22240986290559417
0.6262626,0.5,0.6759271591993441
0.4040404,0.6,0.6329299188060961
0.030303031,0.7,0.07159471013492358
0.2020202,0.65,0.403807955486626
0.121212125,0.65,0.2476059665099995
0.08080808,0.4,0.19179379857723194
0.7373737,0.4,0.6755712646714213
0.14141414,0.6,0.3285061477048243
0.8484849,0.15,0.40504280419828004
0.3838384,0.7,0.7312241869183774
0.86868685,0.35,0.29013929444989917
0.13131313,0.7,0.2635949438379018
0.7171717,0.7,0.5406968367809728
0.16161616,0.8,0.3324438182510618
0.11111111,0.4,0.29809523653372566
0.5555556,0.05,0.8311770124548686
0.45454547,0.3,0.8024509326283851
0.54545456,0.15,1.0361051257376075
0.53535354,0.85,0.7207002889505584
0.25252524,0.25,0.6129688446611885
0.94949496,0.3,0.12881226492050205
0.23232323,0.5,0.5938589620773027
0.47474748,0.2,1.0352736670400478
0.17171717,0.65,0.3657359147420961
0.6666667,0.2,0.8774860254542561
0.8484849,0.25,0.3840158024419587
0.2929293,0.6,0.515652314979694
0.14141414,0.05,0.40521792958470887
0.3030303,0.6,0.6377383535798854
0.61616164,0.2,0.7203635352381965
0.8888889,0.1,0.27730263226531965
0.8484849,0.0,0.4664930575679002
0.07070707,0.3,0.18693541406556427
0.5858586,0.15,1.0220472314705198
0.08080808,0.6,0.17180041787835582
0.54545456,0.0,0.871286633253634
0.5555556,0.7,0.775320950692515
0.26262626,0.65,0.49179198652887385
0.86868685,0.0,0.45399664368437503
0.6666667,0.65,0.5989905963269995
0.82828283,0.3,0.47008216042821366
0.060606062,0.15,0.20102389335055043
0.41414142,0.5,0.6406924706778834
0.36363637,0.65,0.6566363373005492
0.28282827,0.55,0.5432079285287722
0.5555556,0.9,0.7028298509495222
0.060606062,0.15,0.15144034527960945
0.16161616,0.1,0.42157694006490637
0.5252525,0.15,0.9489396054110468
0.93939394,0.05,0.17074561867277813
0.22222222,0.15,0.6231188407306476
0.060606062,0.3,0.17556214962876618
0.14141414,0.8,0.33180272550022344
0.56565654,0.3,0.9030167717534857
0.8181818,0.6,0.4052554503852631
0.7171717,0.7,0.5197611114966846
0.54545456,0.25,0.8284982357225192
0.07070707,0.5,0.16814176810561882
0.72727275,0.7,0.487424617997142
0.7979798,0.1,0.5321405524952006
0.6767677,0.8,0.5879334082823678
0.989899,0.7,0.02195215103386212
0.36363637,0.85,0.5615916592933754
0.08080808,0.55,0.16716610933438109
0.68686867,0.0,0.8303915003493352
0.94949496,0.5,0.11157628343985299
0.8484849,0.05,0.45473006637061864
0.33333334,0.4,0.8004537246849867
0.6060606,0.25,0.7405343914532856
0.68686867,0.15,0.677099756733844
0.22222222,0.0,0.5987978018683388
0.28282827,0.1,0.8247475610546164
0.05050505,0.8,0.10029628714736862
0.21212122,0.7,0.4602535698906115
0.82828283,0.6,0.4124906009539358
0.8888889,0.9,0.23941948494198134
0.47474748,0.05,0.9786132682102412
0.16161616,0.75,0.29165788154918615
0.3030303,0.1,0.8835185215954737
0.121212125,0.8,0.2864544940825393
0.8080808,0.95,0.39129600898435635
0.8787879,0.45,0.2836083081320202
0.64646465,0.7,0.5538826184236697
0.45454547,0.85,0.6985366205233812
0.6969697,0.6,0.5811329024062644
0.7373737,0.55,0.5048086458285789
0.5050505,0.7,0.7145264273610286
0.8787879,0.85,0.21135656388121427
0.05050505,0.5,0.13248929166284557
0.5050505,0.85,0.7218272743980633
0.9292929,0.35,0.19056827999561363
0.27272728,0.3,0.6113704172696296
0.5959596,0.5,0.7671436625069975
