# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.666605710983276367e-01 2.290561497211456299e-01 1.047225594520568848e+00
1.000000000000000000e+03 5.355292931199073792e-03 4.346493631601333618e-03 1.442576348781585693e-01
2.000000000000000000e+03 1.163934241048991680e-03 9.587671374902129173e-04 6.775257736444473267e-02
3.000000000000000000e+03 1.384918286930769682e-04 1.497430348535999656e-04 2.677581086754798889e-02
4.000000000000000000e+03 3.320458927191793919e-05 6.940976891200989485e-05 1.822970062494277954e-02
5.000000000000000000e+03 1.246630654350155964e-05 4.609496681950986385e-05 1.485579926520586014e-02
6.000000000000000000e+03 6.231812221813015640e-06 3.764026041608303785e-05 1.342442166060209274e-02
7.000000000000000000e+03 2.838914724634378217e-06 3.357700188644230366e-05 1.267915312200784683e-02
8.000000000000000000e+03 1.260399699276604224e-06 3.097020453424192965e-05 1.217702869325876236e-02
9.000000000000000000e+03 7.299608455468842294e-07 2.946731910924427211e-05 1.187789812684059143e-02
1.000000000000000000e+04 4.203732828500506002e-07 2.789352402032818645e-05 1.155635807663202286e-02
